"ID";"Name";"StationCapacity";"BikeParkingSlotsAmount";"global_id";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Location";"ClarificationOfLocation";"DepartmentalAffiliation";"OperOrgName";"OperOrgWebsite";"Photo";"geodata_center";"geoarea";
"260";"Пункт проката велосипедов № 410";"12";"";"14937198";"37.608918";"55.778385";"Центральный административный округ";"Тверской район";"2-й Щемиловский переулок, дом 14/29";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"81928b55-5839-440f-9436-14643bd02289";"01010000000EF96706F1CD42403659A31EA2E34B40";"";
"177";"Пункт проката велосипедов № 341";"12";"";"14937424";"37.594389";"55.709908";"Южный административный округ";"Донской район";"улица Орджоникидзе, дом 11, строение 1/2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"89b8f411-bf27-403d-8b11-79f7fb7712d6";"0101000000130D52F014CC42409A95ED43DEDA4B40";"";
"243";"Пункт проката велосипедов № 368";"12";"";"14937427";"37.608093";"55.659191";"Юго-Западный административный округ";"район Зюзино";"Симферопольский бульвар, дом 4";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"83a912cd-1d23-488f-978b-ad7dcd4d6cd2";"010100000098F6CDFDD5CD4240A568E55E60D44B40";"";
"255";"Пункт проката велосипедов № 466";"48";"";"14937428";"37.639128";"55.825361";"Северо-Восточный административный округ";"Останкинский район";"Продольный проезд";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"fa6e5919-1edd-4481-87bc-6b6581da1ff7";"01010000009CFA40F2CED142406A32E36DA5E94B40";"";
"264";"Пункт проката велосипедов № 451";"12";"";"14941438";"37.636551";"55.837144";"Северо-Восточный административный округ";"район Ростокино";"улица Сельскохозяйственная, дом 17, корпус 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"222317b1-1c65-4e68-9fa8-7ff39f269ac9";"0101000000389ECF807AD142407505DB8827EB4B40";"";
"265";"Пункт проката велосипедов № 443";"12";"";"14941439";"37.636617";"55.808565";"Северо-Восточный административный округ";"Останкинский район";"Проспект Мира, дом 97";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"d8b28988-9108-443f-8a6c-8b047e0f7441";"0101000000F08975AA7CD142405AD8D30E7FE74B40";"";
"266";"Пункт проката велосипедов № 80";"12";"";"14941440";"37.626464";"55.745814";"Центральный административный округ";"район Замоскворечье";"улица Пятницкая, дом 2/38";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"cab05a2f-4727-422b-8ae8-98ad9b65b24f";"0101000000880FECF82FD04240117349D576DF4B40";"";
"267";"Пункт проката велосипедов № 81";"12";"";"14941441";"37.633322";"55.739852";"Центральный административный округ";"район Замоскворечье";"Татарская Большая ул., д.19/13";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"77f96b57-ba55-43d3-834b-67f97bb5d45b";"01010000002DEBFEB110D14240AAF06778B3DE4B40";"";
"268";"Пункт проката велосипедов № 84";"12";"";"14941442";"37.635113";"55.737552";"Центральный административный округ";"район Замоскворечье";"улица Большая Татарская, дом 35, строение 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"17fec56f-7aa5-4b75-b096-0e5ac90e6904";"0101000000D921FE614BD14240B98C9B1A68DE4B40";"";
"269";"Пункт проката велосипедов № 388";"12";"";"14941443";"37.619266";"55.645199";"Южный административный округ";"Нагорный район";"Варшавское шоссе, дом 100";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"39805d04-1e0a-4a59-8a9a-fad7f9e00aa4";"01010000002BC3B81B44CF4240B9347EE195D24B40";"";
"271";"Пункт проката велосипедов № 60";"12";"";"14941445";"37.633093";"55.761690";"Центральный административный округ";"Красносельский район";"Мясницкая ул., д.11
";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"6211ccdb-23a4-4dc6-b4a4-d6dc15a0f75d";"0101000000CC29013109D142405AD8D30E7FE14B40";"";
"273";"Пункт проката велосипедов № 390";"12";"";"14941447";"37.518875";"55.652432";"Юго-Западный административный округ";"Обручевский район";"улица Академика Волгина, дом 6";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"badbc249-7892-4a20-bdca-9522f02d0a4c";"010100000023DBF97E6AC24240936E4BE482D34B40";"";
"274";"Пункт проката велосипедов № 393";"12";"";"14941448";"37.571113";"55.674873";"Юго-Западный административный округ";"район Черёмушки";"Нахимовский проспект, дом 45, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"8180a2f9-f905-4621-8c8a-e0978508c55b";"010100000004A9143B1AC9424009FA0B3D62D64B40";"";
